trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.75, 'e': 0.5390214030763576}",25,1,-4.819919211383176,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.75, 'e': 0.5357969576674566}",20,1,-22.95521158936476,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.75, 'e': 0.5325918010068977}",20,0,10.060419154584801,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.75, 'e': 0.5294058177086951}",20,4,-26.624804678762125,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
107,False,"{'a': 0.75, 'e': 0.5262388930771059}",20,7,-21.718712828474906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.75, 'e': 0.5230909131025013}",20,8,21.84896016728953,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.75, 'e': 0.5199617644572624}",20,0,-15.99397974167814,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
110,False,"{'a': 0.75, 'e': 0.5168513344916998}",20,0,-15.120082923202062,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
111,False,"{'a': 0.75, 'e': 0.513759511229999}",25,13,-3.246622019171107,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.75, 'e': 0.5106861833661884}",20,0,-156.83477279816023,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
113,False,"{'a': 0.75, 'e': 0.5076312402601333}",30,0,11.412281706673829,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
114,False,"{'a': 0.75, 'e': 0.5045945719335517}",30,0,-130.5258380620266,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
115,False,"{'a': 0.75, 'e': 0.5015760690660561}",20,16,6.71884473433251,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.75, 'e': 0.4985756229912171}",20,9,-3.2088871332362103,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.75, 'e': 0.495593125692652}",30,0,-37.35247477936976,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.75, 'e': 0.49262846980013597}",25,10,27.114193858253362,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.75, 'e': 0.4896815485857367}",25,0,-17.623904231712494,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
120,False,"{'a': 0.75, 'e': 0.4867522559599722}",20,0,-46.88616779195898,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.75, 'e': 0.48384048646799155}",30,0,-111.46961423554785,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
122,False,"{'a': 0.75, 'e': 0.48094613528577856}",20,0,-122.08764939611991,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
123,False,"{'a': 0.75, 'e': 0.4780690982163781}",30,12,0.1782920080682857,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.75, 'e': 0.47520927168614496}",25,0,-14.975169369008446,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
125,False,"{'a': 0.75, 'e': 0.4723665527410152}",30,0,37.42367549534218,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.75, 'e': 0.46954083904279975}",20,10,6.270881010513953,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.75, 'e': 0.46673202886550036}",20,6,3.2417545238885337,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.75, 'e': 0.4639400210916472}",25,3,-49.72261314969997,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
129,False,"{'a': 0.75, 'e': 0.461164715208659}",25,19,10.072107674920659,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.75, 'e': 0.45840601130522407}",35,13,-62.91201602366982,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
131,False,"{'a': 0.75, 'e': 0.45566381006770407}",30,9,12.350546489062001,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.75, 'e': 0.45293801277655826}",25,8,-11.22178779946801,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
133,False,"{'a': 0.75, 'e': 0.4502285213027898}",20,13,11.993244624526053,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.75, 'e': 0.4475352381044129}",20,0,-19.309918822065658,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
135,False,"{'a': 0.75, 'e': 0.4448580662229417}",20,0,-20.509159123154806,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
136,False,"{'a': 0.75, 'e': 0.44219690927989924}",20,10,3.1541556054895254,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.75, 'e': 0.43955167147334817}",25,8,-62.84528345087229,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
138,False,"{'a': 0.75, 'e': 0.43692225757444175}",20,0,-34.42078084524731,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
139,False,"{'a': 0.75, 'e': 0.4343085729239957}",30,17,-2.186184049588626,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.75, 'e': 0.4317105234290803}",30,15,-16.003734366358067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.75, 'e': 0.4291280155596331}",25,1,-55.96255691229076,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 1}",1
142,False,"{'a': 0.75, 'e': 0.42656095634509195}",20,0,0.9359283024836529,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
143,False,"{'a': 0.75, 'e': 0.42400925337104783}",20,3,-36.69644281714287,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
144,False,"{'a': 0.75, 'e': 0.42147281477591814}",20,3,-14.246607698934982,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
145,False,"{'a': 0.75, 'e': 0.4189515492476395}",20,0,-22.335153084588626,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
146,False,"{'a': 0.75, 'e': 0.4164453660203806}",25,14,-5.339480159097736,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.75, 'e': 0.4139541748712746}",20,0,3.4472736302963654,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
148,False,"{'a': 0.75, 'e': 0.41147788611717107}",25,15,3.890801220223159,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.75, 'e': 0.4090164106114074}",30,13,-34.40014407126462,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
150,False,"{'a': 0.75, 'e': 0.4065696597405996}",25,12,-32.14230548331806,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
151,False,"{'a': 0.75, 'e': 0.404137545421452}",20,10,-19.996018100665996,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.75, 'e': 0.4017199800975865}",20,0,-26.577126700800925,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
153,False,"{'a': 0.75, 'e': 0.3993168767363904}",20,0,9.227226919439289,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
154,False,"{'a': 0.75, 'e': 0.396928148825883}",30,9,-5.623231113119717,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
